Value;Language Pair
[0.007932519598951386, 0.01502768197145304, 0.003776007542886602, 0.005210168505621968, 0.013378071695201008, 0.004590543505173795, 0.004159008786055534, 0.004949057039245755, 0.004419525427157277, 0.00624812349386783, 0.004838737092363987, 0.008414058468556251, 0.0735841911939291];en-ar
[0.008958443378718987, 0.012905434682346967, 0.003781013204708021, 0.010557046242356736, 0.027270035195802022, 0.03043117741089871, 0.034083624690681685, 0.03719323545111066, 0.04031338568569149, 0.048043795026163565, 0.044414849427799066, 0.049393179437730944, 0.0868047483842612];en-ru
[0.013719572966512222, 0.007144845996067159, 0.010155889418064681, 0.017850314471390898, 0.029447811911540746, 0.017427274995313633, 0.02241996547033768, 0.024656336801918945, 0.025783207305686118, 0.032726196524019584, 0.033166045011976744, 0.034411922034904945, 0.04085713656187837];en-fr
[0.012937693474724713, 0.01026707842988276, 0.006976497785075543, 0.011646032547864364, 0.025081329866948707, 0.008378770859502598, 0.0048865374578323925, 0.006002482664580525, 0.007359690487685332, 0.008244739468818114, 0.008695881148916652, 0.00616186821860371, 0.05887704450397509];en-hi
[0.008182138840485395, 0.015350866635058065, 0.003642087055667855, 0.005205112300885182, 0.015520964084441922, 0.004643764653471684, 0.004415778702914288, 0.0051239378371164546, 0.0044903703559384285, 0.006076870866912442, 0.005778697220554692, 0.007459301294469173, 0.07177866502712515];en-ar
[0.009543729230527797, 0.012839714050160704, 0.003840531845984478, 0.011130488934931916, 0.02843444161502738, 0.032925509345082565, 0.03668015456922644, 0.04002109610967606, 0.043258322244030235, 0.05087688926918587, 0.0466711763433537, 0.049556324208578105, 0.08745205988192362];en-ru
[0.014320827777555636, 0.006401128625587208, 0.01081869209372356, 0.018493854724410935, 0.02923438034012007, 0.018071730877521477, 0.02337807313221102, 0.026493615740207938, 0.028525414458983656, 0.035575585623069526, 0.03742477698565954, 0.03919057071389996, 0.044632947331600746];en-fr
[0.012959081778037502, 0.009622676786433861, 0.007022412670977837, 0.011609627480852463, 0.02448614445100141, 0.00809470976627303, 0.005072954789952838, 0.006206509606283207, 0.008151775080286763, 0.008815125987366168, 0.009208971489281806, 0.00625006765049383, 0.05730925441826986];en-hi
[0.008397165847326188, 0.014838901654349522, 0.0034493485786170545, 0.005441959967895122, 0.014814493593165024, 0.004748296537161811, 0.004624027927774152, 0.0055444114699305, 0.004978486795811546, 0.006208283363108427, 0.006048328148651175, 0.007605974510503334, 0.07035623109668868];en-ar
[0.008953286663825468, 0.013094915859443342, 0.0036320020634148615, 0.010279371647847176, 0.026816022738643985, 0.03265652902374441, 0.03619722324547327, 0.03959321350067931, 0.043064817063870164, 0.050724832116964755, 0.04761421625835878, 0.050762016231503025, 0.08486303600090568];en-ru
[0.01385473512955094, 0.00801584946386091, 0.009946092323200015, 0.01788814018691457, 0.029269670043218857, 0.021295695219352453, 0.026727069179801242, 0.030276814688989417, 0.03264986512878776, 0.04034959679986308, 0.04275905191131459, 0.045311188184151134, 0.046903312562301236];en-fr
[0.012526141923844483, 0.009926091131267545, 0.006794755519194086, 0.01106647970497232, 0.023276955055087492, 0.008815929378120924, 0.00466756344530549, 0.005853152938172845, 0.006218461914559891, 0.006735121220272447, 0.006831677768879427, 0.008818358624574175, 0.053861129660279485];en-hi
[0.007977158047225413, 0.015443178357462164, 0.003636642383451222, 0.005278020664776789, 0.013929934573634445, 0.004769105232316721, 0.005845831656337082, 0.0071466638074920265, 0.006600643065972362, 0.007386513157061907, 0.0074117186944237575, 0.007703996536340803, 0.07381992743736032];en-ar
[0.009884385527821907, 0.013143048810029876, 0.004147559120916794, 0.011705343363171458, 0.02822956488971747, 0.02998693124610704, 0.03379283555785587, 0.03660070339193299, 0.038997024541830655, 0.046422886614737716, 0.04325478869395505, 0.04654701298623557, 0.08253671938199326];en-ru
[0.014077218292802422, 0.007115287159935555, 0.010485061407095401, 0.018189509379115024, 0.02954422483739943, 0.018666544931455597, 0.02363566087534262, 0.026106930156158354, 0.02755560224953083, 0.03452501689340562, 0.03589680451204848, 0.03667440928934238, 0.044285544606411785];en-fr
[0.012808055235597103, 0.010158344321568329, 0.0067804521461019346, 0.01155229076471462, 0.024879069293834048, 0.008558878501538934, 0.004912253710039919, 0.00582674469655927, 0.006639654402370731, 0.0075893338345165776, 0.007821070321470575, 0.007981248661039136, 0.05440232929852922];en-hi
[0.008193853721050998, 0.01519035769068921, 0.003515273065435576, 0.005254456663645041, 0.0147673719878789, 0.004482796965952864, 0.004973422128913522, 0.005516503241721109, 0.005075405215599516, 0.006013382887354214, 0.005162887294935265, 0.007789401782754196, 0.07081765848005672];en-ar
