Value;Language Pair
[0.6115788005144956, 0.3437658661749447, 0.36660862290184015, 0.4060577445939028, 0.5524193691819286, 0.655407093805261, 0.69720794281915, 0.7246216613434565, 0.7299146339048942, 0.719361697563824, 0.7387268054875312, 0.7451499128221379, 0.8258705594859203];en-ar
[0.6382020055867421, 0.436108930681609, 0.4448463830448842, 0.4585107395068917, 0.5425955002547683, 0.6081857784437792, 0.6304756734791833, 0.6237955435078281, 0.5941636661362524, 0.5515958004863932, 0.5846219834079966, 0.6101130811485928, 0.7529499114817009];en-ru
[0.6705374357697049, 0.5261854561429936, 0.513084664537261, 0.5144459847228912, 0.5911798751486155, 0.6572575054647556, 0.6857899681909475, 0.695262399679826, 0.6871815872782221, 0.6765392101959636, 0.7131115601126415, 0.7480646277727404, 0.8310935300200557];en-fr
[0.6108032142786154, 0.3605227386834061, 0.35333682050915133, 0.38437457698727184, 0.4707141393033089, 0.6087730682146503, 0.650656056086688, 0.6730108485727881, 0.6746023451117799, 0.6749005853687413, 0.7073122454880892, 0.7349434829577027, 0.8311848543222974];en-hi
[0.618485679399067, 0.34023484251646247, 0.36870051761778694, 0.40715439002184817, 0.543778647184372, 0.6300219511046695, 0.67104854379897, 0.69636898972356, 0.7044813803466968, 0.6933661256326983, 0.7194694145179044, 0.7437173755125454, 0.8278054082890351];en-ar
[0.6484796107700095, 0.4370747563210413, 0.44811095474055035, 0.4617278374126181, 0.5530758126896884, 0.6430344408362483, 0.6822602323698811, 0.6963370601880403, 0.682833959388857, 0.6495529763462643, 0.7003605399560183, 0.6951523620022151, 0.7683183674808121];en-ru
[0.6807129056906949, 0.5203042048670856, 0.5070037123910152, 0.5123707646823217, 0.6015258576199024, 0.6854294590908103, 0.7250462744629477, 0.7455438360424402, 0.7457039407314733, 0.7402824654445673, 0.7742918000556529, 0.780010647213785, 0.827695680236017];en-fr
[0.6178761646143781, 0.36140258094877936, 0.355796298837328, 0.3800069961093368, 0.47600802779294704, 0.6485352172345544, 0.6871094143920345, 0.7081574308713122, 0.7025138835630302, 0.6905887764500221, 0.7079743994939296, 0.738373671711112, 0.8310630188579671];en-hi
[0.6114488921974165, 0.3386249644665804, 0.36288245962954535, 0.39988066265456534, 0.5449567614682018, 0.658940805682602, 0.7016291347565129, 0.7312437014266228, 0.7387167640270976, 0.7318929569981992, 0.745007857643941, 0.7519743300283638, 0.8284552913892549];en-ar
[0.6337987955892459, 0.41357967912927657, 0.4251337344494338, 0.44057792469665097, 0.5630055343708955, 0.6525301701567756, 0.678046546469753, 0.6793432189803571, 0.6478719177124246, 0.6054860336030834, 0.6419462732654453, 0.6516631201194832, 0.7592283719382491];en-ru
[0.6683471954466464, 0.5169799800973851, 0.4967603814095613, 0.5046319565019803, 0.5945394033756263, 0.6773712462295468, 0.7098453677142971, 0.7278322783640275, 0.7229304244695232, 0.7186244382441509, 0.7575626046428806, 0.7818688323441892, 0.8358835667045788];en-fr
[0.6108149890155377, 0.3594735411795167, 0.3376492889746684, 0.36527213036179695, 0.45941273439287517, 0.6211295247762852, 0.6563072639426294, 0.6777283340063878, 0.6751755209922946, 0.6639993689442053, 0.6926525279142273, 0.7385844323768591, 0.837642224842372];en-hi
[0.5992421365928506, 0.32645385311945574, 0.3471156148600858, 0.3927412945392037, 0.533687028621692, 0.6319140061891327, 0.6771978169959039, 0.7123438240001754, 0.7288340083385507, 0.7155284457576151, 0.7307061617642951, 0.7440507511604422, 0.8353963828645646];en-ar
[0.6273147556527208, 0.4306176910207917, 0.44162468413836903, 0.4500390993373003, 0.5483572551743904, 0.6362619522559302, 0.6646585451326488, 0.6680274254448402, 0.6465488445576436, 0.5995364305966844, 0.638411944184918, 0.6401229719631374, 0.7689827938129504];en-ru
[0.6751880044377564, 0.5206313118175604, 0.5041714159473001, 0.5068931668290315, 0.5876139888646624, 0.6580835681137008, 0.6955772865625719, 0.7194620812994739, 0.7208428651886061, 0.7176602824074992, 0.7524346683112284, 0.7681315353439034, 0.8451969629444648];en-fr
[0.6039762844572154, 0.34904513481126437, 0.3542795246373862, 0.37863369397072044, 0.46759724148393916, 0.6170864752478277, 0.6536362337435518, 0.6762752667674795, 0.6732091370426739, 0.6709706378712629, 0.6964289251885687, 0.7317450977939491, 0.8468287150006897];en-hi
[0.6063059761864134, 0.3328272924636258, 0.36018133620886755, 0.40284443032268125, 0.5384821259560219, 0.6373806732167334, 0.6804467549687252, 0.7088079508890708, 0.7256269787669104, 0.7159568283893168, 0.7379900450050869, 0.7480169339394585, 0.8411968188100339];en-ar
