Value;Language Pair
[0.008228929153841599, 0.014443768888679678, 0.0034701250762637784, 0.004476209019339833, 0.0100809876453698, 0.004759980345768967, 0.002682113641761157, 0.002213342459124197, 0.0026520617793334388, 0.004261521037453685, 0.0106744131902038, 0.012546515715758108, 0.0062048754273145695];en-ar
[0.008592388394638092, 0.014078226134453099, 0.004804291282677344, 0.009047336071309864, 0.025561692880924473, 0.015922748302066123, 0.015936945586276206, 0.013080083550780337, 0.011776485215021903, 0.016051425971956548, 0.020076262418572834, 0.021022259675575923, 0.004568847959363614];en-ru
[0.013696140290822972, 0.008216862789309814, 0.0104735412249593, 0.01649063277266078, 0.02468832392453408, 0.009228480676661238, 0.012762053921128476, 0.014561225086981098, 0.016895290176646153, 0.021958421378704965, 0.03051502134268417, 0.033565148993424096, 0.005430673937644589];en-fr
[0.012378145226487634, 0.011925136472801611, 0.007064280025938853, 0.010659469668148434, 0.01755701195706311, 0.005544987806733908, 0.004935960461676834, 0.008782769546974831, 0.013829849085560205, 0.017635307249189842, 0.026688923871416123, 0.030058168306640733, 0.01456022916684888];en-hi
[0.008171249747514694, 0.015719318007032634, 0.003763869310865036, 0.004406376473063342, 0.010574420918594778, 0.003996905327908676, 0.002586208552740161, 0.00346261529847782, 0.0045594195233617935, 0.006648556281547524, 0.014473490661777715, 0.016784516623512827, 0.006563623505522385];en-ar
[0.009204285949405741, 0.013247132506159134, 0.005036585549177233, 0.010247468847801533, 0.025951529452980557, 0.013785584079819682, 0.013937293767675482, 0.011416841449971201, 0.010653497667030104, 0.014924190455756813, 0.018475859763692343, 0.01916762661752687, 0.005889197983096496];en-ru
[0.014147730920272859, 0.0068701283988228425, 0.011147342371194257, 0.016861425191851197, 0.02356276174522954, 0.006643845193284106, 0.010156199392244158, 0.011896565529168554, 0.014236050715828785, 0.0187388641046321, 0.025584717748884885, 0.027702175568986374, 0.006303223958454675];en-fr
[0.013081647302826412, 0.011532705001772498, 0.007943748095293166, 0.011448819467167314, 0.01893865587829419, 0.005787537460272677, 0.004975557336084137, 0.00858740884400461, 0.01343640788458852, 0.017141601628647744, 0.025365747401021814, 0.028043055416222047, 0.012329978187070453];en-hi
[0.008344151398085736, 0.014861333294329558, 0.003432905171838886, 0.004567636035231823, 0.010324544657501478, 0.0052153394076068236, 0.0030923279489036767, 0.002363899901715741, 0.0022528599257074823, 0.0036917026376236516, 0.009708793873624177, 0.011881158178789285, 0.0064091181722701306];en-ar
[0.008796131356270262, 0.014356215549265828, 0.004910973089467333, 0.009473511999803329, 0.026196065588568327, 0.014327677766558196, 0.014118045036035467, 0.011154602006552262, 0.009535742970739898, 0.013336973255801592, 0.016660764691593104, 0.017650853275967437, 0.005205515958024627];en-ru
[0.012925078683051363, 0.007822836312498497, 0.010040375420239783, 0.015305188095056745, 0.02361433026370851, 0.008954800720334501, 0.011946848420067295, 0.01314456935012845, 0.014454841279334512, 0.018832342288521882, 0.024375684619546662, 0.02654185731588176, 0.004420623998922968];en-fr
[0.012922162627604306, 0.01158971468590834, 0.007037183765572656, 0.01089588147138705, 0.017638947093318116, 0.005996073571698003, 0.004788806792545807, 0.008526894498929785, 0.013276593414854949, 0.01669406500570486, 0.025107021188220315, 0.027656788506695795, 0.006453112857809827];en-hi
[0.00809951992745987, 0.015746304649105845, 0.0034504565127165565, 0.004499776224976888, 0.010279613651823276, 0.00474960911150292, 0.0025576188159998976, 0.002320801938320473, 0.003015517499528511, 0.004768190109741206, 0.011387867964533933, 0.013224054413986391, 0.005115917763007741];en-ar
[0.008894886515283279, 0.013485708993771925, 0.0050244162146505615, 0.009411954133529318, 0.02622328046766436, 0.015686434715628077, 0.016074388653640727, 0.01358959820544469, 0.012669839794930375, 0.017118973581585314, 0.02222877766446093, 0.022670875672492548, 0.004458936036154112];en-ru
[0.014092163907507843, 0.007834774324109187, 0.010536072095279366, 0.016159002381060328, 0.02395707459281064, 0.006581049728528512, 0.009706168454275278, 0.011233091815834078, 0.013332635848203636, 0.01740891004210169, 0.023499526722614225, 0.025163160204524755, 0.004711731390131788];en-fr
[0.012637534609433815, 0.011581229730614262, 0.0068887272043711666, 0.0103981213827407, 0.018336639482882302, 0.005660501764698336, 0.0046844049692351345, 0.008161029784805818, 0.012858100042917271, 0.016206702024097904, 0.023735813008413018, 0.025752896952763147, 0.007393582886219923];en-hi
[0.007959807641545786, 0.014497935956709054, 0.003920540012770896, 0.004287196817820704, 0.009248945481938222, 0.0052938159821496415, 0.003032233366774521, 0.002104762697058997, 0.0020352567115757797, 0.0029579018448086187, 0.009022892422182398, 0.010389771524820868, 0.0047747869563356995];en-ar
