Value;Language Pair
[0.00828466975970546, 0.013761160114505977, 0.003624856383566302, 0.005240167325189878, 0.008695395475281378, 0.009356345223695694, 0.00590673035171614, 0.006002627957340353, 0.005812192639560935, 0.005929528081558058, 0.006362733790453752, 0.00490655834355992, 0.02783946214098052];en-ar
[0.008967593392925922, 0.013068335169268027, 0.0037580157296519382, 0.01078878442757946, 0.021521182180970762, 0.025681134083188336, 0.03166104677318568, 0.033602387809648346, 0.036633155143455096, 0.04678692685223898, 0.04594582811666524, 0.04261666164516868, 0.03889080919510506];en-ru
[0.013778432485087063, 0.007837216222595512, 0.009768382769739943, 0.017968840248383536, 0.023966525443723533, 0.01259541231396172, 0.0174959719977605, 0.019421420920176766, 0.020059270529760264, 0.025887146606488314, 0.0284578904977343, 0.027122401357720753, 0.043298834737725486];en-fr
[0.013125597815768655, 0.010533781347515161, 0.006494253443989967, 0.0122189373280047, 0.0223483518322514, 0.00921491653110316, 0.005450235732311868, 0.006996605295038708, 0.007288038248944974, 0.007871199438504325, 0.009695856049311176, 0.008458016936050815, 0.06380508394420607];en-hi
[0.008314399297033634, 0.014408442377399763, 0.004061912940691889, 0.005364748983270457, 0.008452634229138655, 0.010321791483336186, 0.007077249784357537, 0.0074314252069539325, 0.007256530220489469, 0.007963506397698177, 0.00699515295210839, 0.005625603793309418, 0.029431748063242197];en-ar
[0.008478044556293338, 0.012798098527852677, 0.003759134205813908, 0.010603329273204934, 0.0220560364949736, 0.029712021612675325, 0.035709045490603886, 0.03743954504995984, 0.04008444187907054, 0.051441183132379005, 0.04795715788140728, 0.041305167726476855, 0.03767249340988465];en-ru
[0.012997815023812039, 0.008099412550078051, 0.008994388515366308, 0.017641110185813186, 0.024314602241548217, 0.015868436112373523, 0.02057512704261817, 0.02231476276027083, 0.02246202104787955, 0.028733985920520243, 0.030423652615002995, 0.027850545510402273, 0.047578070540124];en-fr
[0.012771875876119162, 0.01098253074005359, 0.006285044591533895, 0.011746423201498627, 0.02236004218302604, 0.00883082762574372, 0.005186646745160525, 0.007153505748104061, 0.007685434719157634, 0.008600264505951397, 0.00982893269971549, 0.009006576547725943, 0.06147420055967591];en-hi
[0.00839139404311559, 0.014014898598578586, 0.003777083200947815, 0.00528708999119966, 0.009372675143008352, 0.008714586693602932, 0.005724922829391609, 0.006430172514880699, 0.0068315238491029814, 0.00662058646619321, 0.007387027065037493, 0.006346595492860456, 0.03049002863061837];en-ar
[0.009508037921407492, 0.013713476066768007, 0.004100010082114107, 0.011285456075320775, 0.021795641762165117, 0.026365495143033997, 0.03322480892456031, 0.03554343614213111, 0.038730012172722254, 0.04943277600662155, 0.04783241134611377, 0.043390478570167174, 0.0367773702457112];en-ru
[0.013604894179730617, 0.007309905523667712, 0.009622582906957187, 0.017854376880923156, 0.02397068604334347, 0.014708922831407685, 0.020836192010486476, 0.02374622328926997, 0.024633194528323504, 0.03115289337933997, 0.03460255532058122, 0.03458557636591014, 0.05046802097761107];en-fr
[0.013573920935509427, 0.011016810239205041, 0.007352515887383984, 0.012963658124839536, 0.023312561117460686, 0.007758100986198195, 0.004326298180097475, 0.004852296752288006, 0.00575283786595705, 0.008344870218915515, 0.009501507363984989, 0.007884666824662248, 0.06568410817772262];en-hi
[0.008417463678191288, 0.014866752677059093, 0.003682115611327742, 0.0053457621070421395, 0.009298178590497929, 0.008566199394774371, 0.004915208805328486, 0.0046573417779733894, 0.004495919537077623, 0.004551105163036879, 0.00514397147396208, 0.0035826209998287622, 0.035503766958895816];en-ar
[0.009241700762671988, 0.013729320309555417, 0.0039029213291056695, 0.011059471826741182, 0.021488957431202393, 0.02926883670050582, 0.0372306255133123, 0.04125894396442177, 0.04578853946244643, 0.05647614877231844, 0.06018428770802792, 0.05641304164184088, 0.05064436753240912];en-ru
[0.013847265720645891, 0.007838938205500134, 0.009716081418370819, 0.0181581807175644, 0.02352850812801884, 0.012791873100174362, 0.01818406596887247, 0.020438643020762617, 0.021607564832872225, 0.02715167491849934, 0.0318309261872328, 0.030023132083971657, 0.04697127702294884];en-fr
[0.013047193709914716, 0.010373343037454711, 0.006447439184609993, 0.011988832260740968, 0.020991882713164954, 0.00898143914946189, 0.004662926799907083, 0.005734440084898507, 0.0058140781417706094, 0.006909165783641783, 0.008444725398234995, 0.00764490599856595, 0.06419642161212923];en-hi
[0.008306643277476733, 0.015193633142516724, 0.003847090684494925, 0.005010701189400459, 0.0079336607494301, 0.010088736577589831, 0.006791214014105404, 0.006986321079834339, 0.007013251009956606, 0.007889102547781234, 0.005951317719479776, 0.004974097176983669, 0.03167563301841805];en-ar
