Value;Language Pair
[0.3135005386872217, 0.3768833730990688, 0.4235434194405874, 0.4842242792248726, 0.5495477069914341, 0.6174105576425791, 0.6479284560928742, 0.6288133645306031, 0.6287655116120974, 0.621485646784616, 0.6236586147298415, 0.6319077756380042, 0.6868774139337862];en-ar
[0.36601095765829084, 0.4496684993182619, 0.5116490586350362, 0.5653836594521999, 0.6258611769974232, 0.6879742816090584, 0.7175872616966565, 0.7032205533236265, 0.7102090773483117, 0.7052913490186135, 0.6934808607958257, 0.6751070118808032, 0.703026391841316];en-ru
[0.5640589567025502, 0.6145761318008105, 0.6603049508233865, 0.7016267643372218, 0.7439571793874105, 0.7820870754122734, 0.8003856340050697, 0.7906511349479357, 0.7969773050645987, 0.7941827618579069, 0.7843391127542904, 0.7683218713601431, 0.7757276977660755];en-fr
[0.2162587628092539, 0.2649721058846141, 0.30727505566571683, 0.3676132964529097, 0.4178297126836454, 0.47633675499896827, 0.507053285773533, 0.48623861821756387, 0.4921891784885277, 0.500964495362629, 0.5076433808015038, 0.5159862181602511, 0.5671250585191107];en-hi
[0.3186262908329566, 0.38162554550915956, 0.43010700566073257, 0.49033377851049104, 0.5528218989074231, 0.6199259007970492, 0.6499890846510729, 0.6338350514570872, 0.6373067650198937, 0.6286082862503827, 0.627317656056645, 0.625453728241846, 0.6792082411578546];en-ar
[0.35894470021128655, 0.44266880785425505, 0.5050903903444608, 0.5605460499227047, 0.6229586943984031, 0.6827598877747854, 0.7132118024925391, 0.6977491135150194, 0.7057138168811798, 0.7023365814611315, 0.6955089973813544, 0.685799878166387, 0.7172975881471454];en-ru
[0.5554131648813685, 0.6070884050180515, 0.6521691866715749, 0.694520380795002, 0.7379904549320538, 0.7765267168482145, 0.7946356908977031, 0.7848303710917631, 0.7922443826993306, 0.7938002519557873, 0.7895501271883647, 0.777841577452297, 0.7830642661376623];en-fr
[0.20829798482901726, 0.2563044450307886, 0.299961900904309, 0.36263427233944334, 0.41619040162457777, 0.47204842367209493, 0.5000945700565353, 0.48038565532692395, 0.4912959186142931, 0.5077846127930873, 0.5222016840831687, 0.5356478393411575, 0.5825440611309993];en-hi
[0.31179977191456903, 0.3759176774943868, 0.4267393549904227, 0.4891015697270632, 0.5537646154562632, 0.6187245757381121, 0.6490287697315216, 0.6302244883775711, 0.6301837099840244, 0.6223638837536176, 0.6218089228868484, 0.6276934011063228, 0.691339752546434];en-ar
[0.34834481445451576, 0.43593357616414624, 0.49801527480284374, 0.5534209820379814, 0.6142556590835253, 0.6763906907538573, 0.7072711696227392, 0.6917864048232635, 0.6989435785015424, 0.6923379986236493, 0.6839418886291484, 0.6681418780703098, 0.7024040138570126];en-ru
[0.5427811996762951, 0.5954796036332846, 0.6404108181844155, 0.6815864136815071, 0.7252079899112384, 0.767133105546236, 0.7869363786280155, 0.7773622820278009, 0.7832217027246952, 0.7807241126646598, 0.7747477149715026, 0.7580541276279837, 0.7642622548885023];en-fr
[0.21030924655186634, 0.2584678384281384, 0.30147706407432756, 0.36038673429439466, 0.4120988964972397, 0.47041622135943423, 0.4985723314403246, 0.47752060888994796, 0.4829297145844127, 0.49106185724638635, 0.4991880323045674, 0.5076336268595575, 0.5415518441757498];en-hi
[0.3049493635787318, 0.3695945603276293, 0.4204814348369837, 0.4825096867978573, 0.5483716038862864, 0.6153428139785926, 0.6460603670279185, 0.628006756156683, 0.6247884406149388, 0.611686069406569, 0.6087032163360466, 0.6087436202540993, 0.6643047094197634];en-ar
[0.3612505761782328, 0.44611542865633963, 0.5070961598555247, 0.5601804255445798, 0.6237475078801314, 0.6870650339126587, 0.718455853710572, 0.703103121817112, 0.7092957045137882, 0.7048275751372178, 0.6942323432435903, 0.6752879712590948, 0.7040285599645479];en-ru
[0.5567486151715275, 0.609427043000857, 0.6532512842367093, 0.6943379281461239, 0.7372013791898886, 0.7772339976330598, 0.7962007903556029, 0.7866281060874463, 0.7920866526663304, 0.7913762704034646, 0.7861837800840537, 0.7686898514985417, 0.7638593988943224];en-fr
[0.2040304128821784, 0.25487096441366397, 0.29803393782814963, 0.35903518163288634, 0.41426643090943494, 0.47370170762141545, 0.5051526795576016, 0.484583816366309, 0.49321667277642217, 0.5072052561160915, 0.5179024337076893, 0.5303031713620294, 0.5744187636663749];en-hi
[0.3103421663007854, 0.3736034922550122, 0.42239428278058766, 0.48376650653779507, 0.5491696849962076, 0.6164876709381739, 0.646240945160389, 0.6283690012991429, 0.6267677828172843, 0.6179333841303984, 0.6181901157336931, 0.6214136967575178, 0.6783501113516589];en-ar
