Value;Language Pair
[0.014450430984619839, 0.02443331957178541, 0.014318155285151733, 0.007296888631095431, 0.005591528570613954, 0.004696053081363087, 0.010020123203971087, 0.022995989264176852, 0.03913956618370675, 0.055882483919358454, 0.09270747526326803, 0.08518610631505863, 0.04140830391060839];en-ar
[0.023237124896293277, 0.015602096941600415, 0.01597819998743545, 0.01335342902474539, 0.011627245464859305, 0.012441606443927899, 0.018840548199721467, 0.023573812126267444, 0.02971202427221188, 0.033095306142156236, 0.04008855825694455, 0.035328107204911884, 0.0070578047312824434];en-ru
[0.007864486686238105, 0.009189739504815433, 0.009974632147384798, 0.009458920960827396, 0.008910254565961855, 0.012116843653614207, 0.017943820064165315, 0.023287608061174338, 0.02881342754212671, 0.031005096804049094, 0.04122861044481839, 0.0393988857230054, 0.010583240170368763];en-fr
[0.035755560571052086, 0.039985620230740676, 0.025854759278769467, 0.0195013902083613, 0.015937630868329375, 0.008737924166509672, 0.007551520796650598, 0.018466940303396642, 0.02708983924526287, 0.0313056557107092, 0.052891284654547795, 0.06086653375988593, 0.012696508711124412];en-hi
[0.015654865597176184, 0.02619224842969509, 0.016061077665602393, 0.008618346757050432, 0.006992164857936182, 0.004049547676929264, 0.007951340226739618, 0.020322616533653824, 0.03719572266699548, 0.05470710693313289, 0.09282147242544014, 0.0873456375867672, 0.04304532544324507];en-ar
[0.023314523791042485, 0.015865264062854923, 0.015791066444231776, 0.013444888797682988, 0.01218251770688056, 0.01298275561945826, 0.019043334339651614, 0.024784835574657427, 0.03043470595676995, 0.034519711198353606, 0.04238328528217294, 0.03807045341235086, 0.009521427952188343];en-ru
[0.008277884552988182, 0.009500234490177829, 0.010291251885244495, 0.010511209558854248, 0.010236027140512138, 0.013611988861307846, 0.019375826509021647, 0.025226413232519042, 0.030107602741829442, 0.03237931752117746, 0.04282977355812154, 0.04080404061273997, 0.009249485524855453];en-fr
[0.03455993053591799, 0.038863497761916575, 0.024329085763677698, 0.018047316549480993, 0.014335430008114177, 0.006921358290654047, 0.009088988049000976, 0.02070270629496899, 0.029447275963364623, 0.033149811817483846, 0.05461081539973862, 0.06087349318397574, 0.012401005068596198];en-hi
[0.014161579854027731, 0.02472570934615802, 0.01423508536645128, 0.007274913804267713, 0.005758208084516455, 0.005866494204011177, 0.01103310380210116, 0.024355772808383372, 0.040409223867761114, 0.057264750323049514, 0.09429036079744599, 0.08720833322705117, 0.04223850171229414];en-ar
[0.022575536452229567, 0.015454489785270524, 0.01563056490881292, 0.013134668182007855, 0.01180656635072033, 0.012356889064516895, 0.01810626415968341, 0.022937835108026397, 0.02892154594195744, 0.033787809113119266, 0.04162525882075367, 0.037544602710958656, 0.01047578096770285];en-ru
[0.008056269976114078, 0.00948162862517936, 0.010167397963859235, 0.009653839717783027, 0.009386344240353431, 0.012403827501472871, 0.017537412431474168, 0.02300869988804693, 0.028335759170752005, 0.031148875163535893, 0.04077664486309173, 0.03700664295555051, 0.006329363867051223];en-fr
[0.034508110835345225, 0.03826114840934155, 0.023830614422784262, 0.01769305267862018, 0.014081500926016373, 0.007115902661579597, 0.00830855519656238, 0.02016988414102984, 0.02986643734680758, 0.03510695067866789, 0.05694096707565185, 0.0646055689464815, 0.013753922432738602];en-hi
[0.014126866325212045, 0.024061119927101634, 0.013749723153908289, 0.006973164024780621, 0.005625578517249855, 0.004331801080503165, 0.008643126486403762, 0.02143079649100976, 0.03791228476062427, 0.05591704204444777, 0.0937969014417261, 0.08721763690394861, 0.04300984357959161];en-ar
[0.023961187356663007, 0.016845054448165375, 0.016700906091390636, 0.013985669274943116, 0.01288846915416977, 0.013565967849107855, 0.01958790101923907, 0.02455888555248316, 0.0295185389995326, 0.03312414174988826, 0.04069045189373197, 0.03575316184291124, 0.0071803115867409275];en-ru
[0.008721484235107805, 0.010009182097827325, 0.010784062588560475, 0.010369724935933512, 0.009825317361477752, 0.012906275053639055, 0.018316894905035536, 0.024409927200928976, 0.029247278173509667, 0.03219109030277192, 0.04357927983304681, 0.041137220310456975, 0.011277218807329292];en-fr
[0.03464679135800567, 0.03850360241199307, 0.02433833729623719, 0.01804569379416977, 0.014400001768340324, 0.007570419405098101, 0.00793865775795784, 0.018591906068379876, 0.026890440604432752, 0.0314436958567891, 0.05323031499456556, 0.05931449078287743, 0.012256935111460473];en-hi
[0.014768316731328345, 0.024686116546959784, 0.014342783611637886, 0.0075126432588956925, 0.0060512296095951296, 0.004685424218379098, 0.0093724805326796, 0.021787342850408155, 0.03727725087551138, 0.05506716373889053, 0.09350371640615389, 0.08663505649846405, 0.04060502939884693];en-ar
