Value;Language Pair
[0.6311909345317205, 0.3317754400668006, 0.37340055278288975, 0.39940049181323656, 0.5440918906910519, 0.6512122668962305, 0.6890146098736053, 0.694265103971508, 0.673083069025209, 0.6617975469779533, 0.7145612443857439, 0.7159448731629102, 0.78517940295346];en-ar
[0.6374623851489741, 0.40972924100933594, 0.44530005821453716, 0.45376175819042447, 0.5543517771010132, 0.6028266687625243, 0.6165089336003197, 0.6218083716649562, 0.6272953671434274, 0.6371700203368285, 0.7172004227595365, 0.7214113950083265, 0.8149273183487822];en-ru
[0.6731857327270943, 0.5132664184307214, 0.5078309846149447, 0.5178407034347765, 0.6205980213820779, 0.6786228324959909, 0.6977238731070732, 0.7015856002220728, 0.7004888567902768, 0.6979176269622985, 0.7515924482094124, 0.766696519307831, 0.8324506007072826];en-fr
[0.6205461559696899, 0.3575997169070767, 0.3676065752298261, 0.399546772641091, 0.46838537411919484, 0.6084816396593427, 0.645473269620367, 0.6567955184914172, 0.6485765868083885, 0.6448153751405576, 0.7186646147891103, 0.7185636946874001, 0.8003421729222949];en-hi
[0.6201144568098244, 0.31584826770044555, 0.37194520275528703, 0.3996937737066764, 0.5341528342617675, 0.6282873528605948, 0.662103308038786, 0.670244741589316, 0.6636594731869021, 0.6739359641212892, 0.7248210536570211, 0.7304548703910162, 0.806471055916821];en-ar
[0.6178361323235732, 0.42182362942956386, 0.44655776508986794, 0.4539233363148135, 0.5490158631790352, 0.5913198724439522, 0.6062749747931957, 0.6107627744184962, 0.6182591125493249, 0.623291928404166, 0.6947721883375197, 0.689068187039035, 0.8015720993252035];en-ru
[0.6631592866898669, 0.504655950089218, 0.5081573010076924, 0.5091768355411962, 0.6223325014850343, 0.6635875793305847, 0.677270559448128, 0.6760234726447379, 0.6733887049480108, 0.6782755510338272, 0.7283912639839886, 0.7304854465927929, 0.8117732006407459];en-fr
[0.5941367950212831, 0.36546112820651616, 0.3689521825511474, 0.38751014884522494, 0.43460224347159965, 0.5682554611959495, 0.6182190907172238, 0.6446142090895834, 0.6380325972482872, 0.6341061701897222, 0.7018681616178947, 0.7045077890669927, 0.7852320343861356];en-hi
[0.6082156423274622, 0.3352827886817007, 0.3758126920252107, 0.4011717817983784, 0.5264700350934194, 0.6136437703461464, 0.656667145199608, 0.6684073790221009, 0.6552996006719574, 0.6541037614224479, 0.7039700105392451, 0.7116647426132112, 0.7969343050984511];en-ar
[0.6523211171121026, 0.4158623954591652, 0.44382968769059516, 0.45598689120295605, 0.5598734238146184, 0.6361795622995123, 0.655879031647928, 0.6590299375774339, 0.654046581525666, 0.6383984319090572, 0.7169742511003279, 0.7078104144482252, 0.809796937398302];en-ru
[0.6802664410920504, 0.5289909856882877, 0.5303704737763231, 0.5329382263465474, 0.6245083473418102, 0.6874000282414878, 0.7071887620414297, 0.7064279571711086, 0.7036315566278063, 0.6935686434434805, 0.7614768255727055, 0.765107150307158, 0.8377638878502572];en-fr
[0.6215138054557611, 0.3662383223082482, 0.36495314292008213, 0.39321005865931513, 0.46940567428284946, 0.6085630120476708, 0.6568920163887864, 0.6766573877384265, 0.6644658645312301, 0.6540568622896292, 0.7251849976523469, 0.7237304866834893, 0.8110860323781769];en-hi
[0.6182912355203491, 0.32615018280856023, 0.37212419983853273, 0.39036626907104316, 0.5495225581119303, 0.6382667820905529, 0.6693312525756968, 0.6730979033218076, 0.6534799356308455, 0.6541548692248762, 0.713155593619061, 0.7213389243909235, 0.818614424772483];en-ar
[0.6369924949730436, 0.4207887065996571, 0.44619921974139287, 0.4564975431592514, 0.5495209391581981, 0.6207074246113189, 0.6409415667372135, 0.6490980642680855, 0.6507727776973237, 0.645303576005584, 0.7089350495145966, 0.7081794764433289, 0.7947515728914489];en-ru
[0.698203277001497, 0.5101614285938558, 0.5133537909093623, 0.5239088291876639, 0.6199557318861479, 0.6926198871278515, 0.7114360947200719, 0.7089125380494321, 0.6969024881068617, 0.6868103110673838, 0.7396076999088594, 0.7452593284773563, 0.8274081578377324];en-fr
[0.6253684094368752, 0.3672472929895836, 0.37662863413551045, 0.3983805830099542, 0.45938437763698553, 0.5983070445836832, 0.6415556996139155, 0.6680532128453099, 0.6683762412394086, 0.6545834036932017, 0.727652151278841, 0.7282264317385853, 0.7997728130392109];en-hi
[0.6248858276168175, 0.32645155921454716, 0.3743452574010007, 0.39417658167212116, 0.5400443158011573, 0.6323671009290653, 0.6654695478159314, 0.6692323834992324, 0.6572724399308209, 0.65791299480324, 0.6995410362131952, 0.7105317384328615, 0.7934151114791166];en-ar
